M,N,K,PyTorch (TFLOPS),Triton Blockwise (TFLOPS),Triton Grouped (TFLOPS),Triton Grouped Autotuned (TFLOPS)
256.000000,256.000000,256.000000,1.913045,0.943708,0.933205,1.681406
384.000000,384.000000,384.000000,3.990570,2.227753,2.216925,3.842003
512.000000,512.000000,512.000000,7.604499,4.082483,4.066240,6.249907
640.000000,640.000000,640.000000,8.591341,6.008894,5.982794,7.684967
768.000000,768.000000,768.000000,10.476060,8.671792,8.754079,9.204651
896.000000,896.000000,896.000000,10.202421,7.928924,7.894811,9.461671
1024.000000,1024.000000,1024.000000,11.089295,7.849033,7.901646,9.831054
1152.000000,1152.000000,1152.000000,11.464534,9.152843,9.150464,10.026935
1280.000000,1280.000000,1280.000000,11.846206,9.661559,9.608071,12.147235
1408.000000,1408.000000,1408.000000,11.867004,9.513554,9.631059,10.717075
1536.000000,1536.000000,1536.000000,12.221289,9.517142,9.446936,11.268969
1664.000000,1664.000000,1664.000000,11.587476,10.315720,10.227017,11.454892
1792.000000,1792.000000,1792.000000,12.696630,9.578189,9.795788,12.270783
1920.000000,1920.000000,1920.000000,12.714396,10.223827,10.394780,11.923315
2048.000000,2048.000000,2048.000000,13.368815,9.961269,10.127425,11.751396
2176.000000,2176.000000,2176.000000,12.597040,10.364566,10.494286,12.168607
2304.000000,2304.000000,2304.000000,13.018545,10.144188,10.286910,11.456463
2432.000000,2432.000000,2432.000000,12.659666,10.419346,10.441613,12.017451
2560.000000,2560.000000,2560.000000,13.016457,10.188468,10.401832,12.180564
2688.000000,2688.000000,2688.000000,12.845449,10.273465,10.366819,11.772463
2816.000000,2816.000000,2816.000000,13.339794,10.444254,10.535923,12.116180
2944.000000,2944.000000,2944.000000,12.830105,10.319681,10.461311,11.499486
3072.000000,3072.000000,3072.000000,12.586967,10.385392,10.525661,12.068281
3200.000000,3200.000000,3200.000000,13.578248,10.360010,10.505121,11.790986
3328.000000,3328.000000,3328.000000,12.542994,9.891292,10.635319,11.761106
3456.000000,3456.000000,3456.000000,13.437376,10.578639,10.682716,11.886502
3584.000000,3584.000000,3584.000000,13.569614,10.513469,10.689405,12.267602
3712.000000,3712.000000,3712.000000,13.504964,10.422862,10.654239,11.508115
3840.000000,3840.000000,3840.000000,13.612085,10.434438,10.670097,11.878585
3968.000000,3968.000000,3968.000000,13.133281,10.589713,10.701155,11.511018
4096.000000,4096.000000,4096.000000,13.047878,10.639534,10.735210,11.852371
