N,Triton (GB/s),Torch (GB/s)
256.000000,498.862120,550.882196
384.000000,571.726232,634.942271
512.000000,641.419821,643.687802
640.000000,671.139760,629.956056
768.000000,688.980324,648.561301
896.000000,703.516828,667.062857
1024.000000,716.323706,679.844054
1152.000000,676.943710,679.554898
1280.000000,654.925786,671.231794
1408.000000,708.320031,665.568713
1536.000000,721.622148,679.891428
1664.000000,726.916186,685.973161
1792.000000,733.575590,689.198292
1920.000000,739.996230,670.254531
2048.000000,741.284252,680.390626
2176.000000,751.750242,691.157841
2304.000000,758.402183,718.472926
2432.000000,760.418746,730.887184
2560.000000,761.621420,740.365378
2688.000000,766.327449,744.949661
2816.000000,769.185665,750.165639
2944.000000,773.041583,752.066669
3072.000000,774.047225,754.392911
3200.000000,774.133108,754.558377
3328.000000,773.191669,761.613282
3456.000000,778.004235,763.217559
3584.000000,779.566564,764.392517
3712.000000,780.693210,765.450503
3840.000000,780.373538,768.231957
3968.000000,782.917248,767.443588
4096.000000,783.243354,771.749734
4224.000000,778.771589,769.092468
4352.000000,778.725094,771.588456
4480.000000,779.621041,775.883529
4608.000000,772.444412,778.703824
4736.000000,777.168211,781.298108
4864.000000,779.525390,784.285543
4992.000000,781.669301,784.727765
5120.000000,781.581037,787.552810
5248.000000,782.706739,782.421021
5376.000000,779.960661,785.963359
5504.000000,781.659567,788.524104
5632.000000,782.094922,789.464055
5760.000000,781.151649,791.610408
5888.000000,781.278310,793.052271
6016.000000,779.584310,793.577350
6144.000000,780.301062,794.633416
6272.000000,782.950371,790.155335
6400.000000,783.733693,791.224581
6528.000000,781.976239,793.571406
6656.000000,782.760511,794.335593
6784.000000,784.185943,795.474978
6912.000000,785.148202,795.678252
7040.000000,785.432723,795.990951
7168.000000,786.743232,796.410090
7296.000000,784.618181,702.365987
7424.000000,783.169007,705.982456
7552.000000,782.100689,710.623195
7680.000000,784.450232,719.168684
7808.000000,785.499426,712.178622
7936.000000,745.747846,715.882609
8064.000000,746.926606,732.201484
8192.000000,782.291944,732.715992
8320.000000,785.914216,709.014850
8448.000000,783.206757,712.987122
8576.000000,782.928221,712.315272
8704.000000,787.907654,705.248956
8832.000000,788.039564,704.305209
8960.000000,787.944351,693.232624
9088.000000,787.797539,691.056089
9216.000000,786.330070,687.476709
9344.000000,785.518781,740.663492
9472.000000,783.242981,743.528398
9600.000000,785.449801,748.508724
9728.000000,785.095566,751.882646
9856.000000,780.407305,756.227465
9984.000000,784.644313,758.865305
10112.000000,786.381329,762.140702
10240.000000,785.788977,773.914369
10368.000000,785.174996,767.430451
10496.000000,784.051827,773.281859
10624.000000,782.266199,776.237179
10752.000000,781.669882,782.125233
10880.000000,781.805766,784.593157
11008.000000,780.369032,764.181869
11136.000000,743.356898,765.347674
11264.000000,743.304811,795.662621
11392.000000,782.230390,799.928153
11520.000000,782.134806,799.625827
11648.000000,782.651057,802.221257
11776.000000,780.685802,804.855349
11904.000000,779.823638,803.807073
12032.000000,780.047950,805.071849
12160.000000,781.571290,806.350831
12288.000000,783.905372,612.513771
12416.000000,781.021210,586.652678
12544.000000,782.344649,579.351767
12672.000000,780.761692,579.846505
